[0.08549292,-0.64579088];[-1.30482960e-03,-1.05582854e-04,9.74730345e-01,-2.23380906e-01];[[4.46034217, -1.21579671], [-0.09999998, -2.89999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1662.6755882714017], [23.02260439195626], [0], [0], [0], [0], [0], [0], [0], [0]];[4.46034217,-1.21579671]
[3.50611164,-0.57910715];[0.00544337,0.00181565,-0.22788264,0.97367169];[[-1.40188739, -1.23576792], [5.80000037, -1.80000013], [5.40000036, 1.69999993], [0.40000029, -1.30000012], [-0.18846017, 1.78090119], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2648.17783730001], [17.401510113281876], [17.393537609474663], [458.6755206071833], [16.404042426703427], [0], [0], [0], [0], [0]];[-1.40188739,-1.23576792]
[-1.2227927,-1.17894325];[-0.00482411,-0.0071294,0.98282845,-0.18432079];[[-1.3925733, -1.95221066], [6.20000037, -3.59999954], [5.40000036, 1.80000054], [4.20000034, -4.59999956], [-0.1820676, 1.87306702], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[435.94828969670897], [58.66307213026617], [1101.870662152776], [58.29501915440971], [619.8974369053645], [0], [0], [0], [0], [0]];[5.40000036,1.80000054]
[5.29236612,1.71015694];[0.00325692,-0.00270128,0.3205555,0.94722029];[[-0.75435778, 2.68145392], [-1.46601771, -2.37571176], [6.30000037, -3.74999954], [4.59787258, 2.18634022], [4.20000034, -4.69999956], [2.59372497, -5.27910089], [1.80000031, -3.99999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[169.1591715486112], [362.7249660119653], [177.16273140172552], [183.66053310096936], [169.56046770686154], [170.52915495979175], [170.46653700187383], [0], [0], [0]];[-1.46601771,-2.37571176]
[3.94971836,0.30732321];[7.08415778e-04,9.77076446e-04,9.21450647e-01,-3.88493562e-01];[[3.43240271, -5.46930854], [-0.78886527, 2.48188768], [-1.59316236, -2.40487257], [6.60000038, -4.69999956], [0.70000029, -2.49999953], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.891642772304307], [27.702760066893415], [301.10173781484474], [13.447786085908229], [139.2244932279231], [0], [0], [0], [0], [0]];[-1.59316236,-2.40487257]
[0.64449429,-2.58721751];[0.0122171,0.00597401,0.96938664,-0.24516237];[[-0.43760199, 2.74564025], [2.59444053, -5.26509226], [-1.65672461, -2.20354783], [6.40000038, -5.49999957], [-1.90579629, -0.34279382], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.418966215357448], [11.418966215357443], [11.826715454829571], [11.03614507919272], [23.62874522475283], [0], [0], [0], [0], [0]];[-1.90579629,-0.34279382]
[-1.72028165,-0.50959669];[0.01349408,0.01922453,0.93008028,0.36660468];[[-0.70509957, 2.63250206], [3.01414319, -5.75063698], [7.54293633, 2.70449281], [6.40000038, -5.49999957], [-1.91671264, -0.327773], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.67623658450086], [10.3374239728153], [13.341709728928926], [10.018066339903987], [29.251466838157178], [0], [0], [0], [0], [0]];[-1.91671264,-0.327773]
[-1.72070813,-0.50917641];[0.01372613,0.01891505,0.93002342,0.36675638];[[-0.50068175, 2.8384237], [5.95603218, -5.54283979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[68.85947521968201], [10.018066339903973], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.50068175,2.8384237]
[-0.56200657,2.57914051];[0.01421371,0.01944814,0.65100375,0.75869219];[[-1.51187963, -2.33991575], [-1.70415061, 5.3895357], [2.94295413, -5.71860397], [6.40000038, -5.49999957], [1.6000003, 2.50000055], [0.70000029, -4.19999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.115332684180919], [10.115332684180913], [9.549774330059323], [9.549774330059295], [10.42219234126441], [9.824918000565713], [0], [0], [0], [0]];[1.6000003,2.50000055]
[1.33834927,2.50046655];[-7.06113629e-04,2.54509373e-02,-2.03922891e-03,9.99673745e-01];[[-1.61359837, -2.34142645], [-2.10075054, 5.25107618], [6.40000038, -5.49999957], [2.80000032, -5.69999957], [0.70000029, -4.19999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.046783203220274], [10.325111205533227], [9.78215675628182], [13.82065342444233], [24.862705751807017], [0], [0], [0], [0], [0]];[0.70000029,-4.19999955]
[0.67557638,-4.09041786];[-0.01618323,0.02317394,-0.64919858,0.76009359];[[2.05119654, 3.34020487], [-0.74743745, 6.09659433], [-1.70000003, -3.24999954], [-2.00329882, 5.081557], [6.40000009, -5.49999957], [2.80000004, -5.69999957], [-2.70000004, 2.00000054], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.52782619626169], [21.58427839443084], [9.18733885794421], [8.782621718465832], [8.980620420329334], [9.403308930052408], [8.980620420329338], [0], [0], [0]];[-0.74743745,6.09659433]
[-0.70929292,5.84104759];[2.18798499e-03,6.66143687e-04,7.55751592e-01,6.54854406e-01];[[-2.05117166, 6.73213053], [6.20000037, -5.49999957], [5.20000036, 2.50000055], [3.50000033, 2.80000055], [3.20000033, -6.19999958], [-1.49999974, -1.79999952], [-1.59999974, 8.90000064], [-4.69999979, 5.10000059], [0.0, 0.0], [0.0, 0.0]];[[10.0110754779974], [55.139305138846396], [9.804411090612597], [10.011075477997412], [31.930129118214396], [9.804411090612597], [10.011075477997409], [10.011075477997421], [0], [0]];[6.20000037,-5.49999957]
[4.92222104,1.50400633];[-4.65507267e-04,1.27481574e-03,-2.20529074e-01,9.75379456e-01];[[-2.11043513, 8.34498132], [6.39999984, -5.49999976], [2.99999979, -5.49999976], [0.69999975, -4.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.313733909038625], [16.14696673040849], [16.146966730408497], [16.14696673040849], [0], [0], [0], [0], [0], [0]];[-2.11043513,8.34498132]
