[0.54773004,-0.22583834];[7.74508828e-04,8.67396639e-05,-3.46903997e-01,9.37900323e-01];[[0.45916814, -0.53760135], [3.6532712, -0.60089964], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2366062.324228959], [1399.2579981764204], [0], [0], [0], [0], [0], [0], [0], [0]];[0.45916814,-0.53760135]
[5.73605181,-0.4002086];[2.10696349e-03,-3.43454718e-04,5.39971648e-02,9.98538812e-01];[[3.70422361, -2.65259789], [5.19657912, -3.77429133], [0.54285869, -1.75756037], [5.00000008, 2.00000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8246501068264591], [0.8234975273369963], [5794.456700606785], [0.905856413005307], [0], [0], [0], [0], [0], [0]];[0.54285869,-1.75756037]
[0.40711964,-1.79878161];[-0.00846012,-0.00431903,0.99994899,-0.00343079];[[-0.92491347, -0.77452346], [0.7000001, -4.84999986], [1.60000011, 1.70000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[245.83515480365782], [5.766908223892158], [116.24318491470633], [0], [0], [0], [0], [0], [0], [0]];[-0.92491347,-0.77452346]
[-0.73466814,-0.93984283];[-0.00554063,-0.0053936,0.93694081,0.34940254];[[4.4819543, -3.43114729], [-1.49086606, -0.2435212], [1.6000003, 1.70000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.223270037579368], [4.448619514929483], [4.231719637963501], [0], [0], [0], [0], [0], [0], [0]];[-1.49086606,-0.2435212]
[-1.29725734,-0.41255299];[-0.00465874,-0.00414293,0.93273173,0.36051722];[[5.00000035, -3.49999974], [3.18740046, -2.61492729], [1.6000003, 1.70000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [4.24062814472358], [4.236241404820642], [0], [0], [0], [0], [0], [0], [0]];[3.18740046,-2.61492729]
[3.07854779,-2.62406117];[0.00422242,-0.00395594,-0.10628808,0.99431854];[[0.87096045, -6.07132742], [5.99187506, -5.60156229], [3.40000021, -5.49999977], [1.60000018, 1.70000034], [-0.39999985, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.65361358474525], [33.764303313685666], [33.66478413752141], [64.7548026571722], [753.2807411228765], [0], [0], [0], [0], [0]];[-0.39999985,1.60000033]
[-0.38851051,1.5107833];[-0.01389662,0.01342024,0.84570408,0.53330234];[[0.74891906, -6.37432345], [6.50000027, -6.19999978], [4.20000023, -5.99999978], [1.60000019, 1.70000034], [-1.69999986, 1.70000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.172983343576597], [27.41370667334443], [27.348275470025225], [726.9218314706571], [30.20814738890574], [0], [0], [0], [0], [0]];[1.60000019,1.70000034]
[1.35953213,1.70135502];[-0.01632878,-0.00400384,-0.00147483,0.99985757];[[0.85428295, 3.18186288], [0.74864577, -6.36976155], [6.50000027, -6.19999978], [4.20000023, -5.99999978], [-0.39999984, 4.70000038], [-1.69999986, 1.70000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.831099846728698], [27.004926608430143], [26.32110116130816], [26.260821770071786], [27.9381223802115], [28.835362874872455], [0], [0], [0], [0]];[-1.69999986,1.70000034]
[-1.44307768,1.75492258];[1.47276032e-04,2.27166860e-02,9.94549418e-01,-1.01761510e-01];[[0.81386007, 2.94806383], [6.50000027, -6.19999978], [4.20000023, -5.99999978], [1.10000018, -6.39999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.69003156134019], [23.08108208465811], [23.63164685176005], [24.277615034231065], [0], [0], [0], [0], [0], [0]];[0.81386007,2.94806383]
[0.74320497,2.84212167];[-0.01552604,0.00823794,0.36199678,0.93201363];[[6.72962527, -6.30223034], [-1.50000003, 5.25000039], [5.50000008, 2.60000035], [4.20000006, -5.99999978], [1.10000001, -6.39999979], [-2.50000004, 2.20000034], [-4.90000008, 2.10000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.26248074231551], [22.750387504918137], [27.176488165781908], [21.70760109233548], [21.712025693371668], [22.767547587729943], [22.777758760231496], [0], [0], [0]];[5.50000008,2.60000035]
[5.76282284,2.27765964];[-0.0179281,-0.00609345,-0.11174611,0.99355636];[[2.70679462, 3.42949378], [0.74318024, -6.38676175], [6.50000009, -6.19999978], [4.27180576, -4.30747366], [4.20000006, -5.99999978], [2.43822312, -5.10784054], [-1.80000003, 5.20000039], [-2.50000004, 2.20000034], [-4.90000008, 2.10000034], [0.0, 0.0]];[[73.71844732112037], [21.286512174647825], [21.8266599480494], [21.807401347369975], [21.794481624717182], [21.810617010598087], [80.49001484553884], [82.68205833601398], [103.94913933240588], [0]];[-4.90000008,2.10000034]
[-4.67631511,2.24163178];[0.00439384,0.01884876,0.99978695,0.00717397];[[6.5000006, -6.19999978], [5.20000058, 2.60000035], [4.20000057, -5.99999978], [1.10000052, -6.39999979], [-1.79999952, 5.30000039], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.64083731882601], [23.838127886621887], [23.410815069475486], [40.80474303157147], [24.29397855386595], [0], [0], [0], [0], [0]];[6.5000006,-6.19999978]
[6.27232862,-6.09383421];[-2.34708889e-02,-2.89193100e-04,-2.29280274e-01,9.73077384e-01];[[-5.3519039, -0.67554321], [-1.85490861, 5.65108667], [2.71339369, 3.0998311], [-5.99999959, 4.70000038], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[430.06222410448], [597.9063079056864], [284.67608281678946], [370.5080750511495], [0], [0], [0], [0], [0], [0]];[-1.85490861,5.65108667]
[-1.69296348,5.46327342];[-0.00570469,0.01620892,0.90366458,0.42789609];[[-5.94999959, 6.50000031], [5.20000058, 2.60000025], [-5.09999957, -0.8999998], [-6.19999959, 4.50000028], [-7.40339613, 5.62604952], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [1.6095855667557935], [1.610424223548844], [0.0], [1.6300143846976205], [0], [0], [0], [0], [0]];[-7.40339613,5.62604952]
[-7.15679892,5.61346697];[-0.00122131,0.01544967,0.99945843,0.02902837];[[2.71058345, 3.10424328], [-5.66757362, -0.90430546], [5.20000039, 2.60000025], [2.49070501, -5.44298458], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.3741114057306505], [2.4348793445813515], [2.372547990380571], [3.1287407803064347], [0], [0], [0], [0], [0], [0]];[2.49070501,-5.44298458]
[2.24026808,-5.45156606];[2.13058684e-03,2.81438266e-04,-5.12658876e-01,8.58589694e-01];[[-5.59516351, -0.90591896], [2.71436357, 3.09546638], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6456292927307276], [1.0589066497267565], [0], [0], [0], [0], [0], [0], [0], [0]];[2.71436357,3.09546638]
