[0.16420349,0.2155528];[4.12720688e-05,5.91639546e-04,2.89210692e-01,9.57265288e-01];[[3.10000005, 0.60000001], [1.21453983, 1.40954952], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.709727942319244], [16.057674001876652], [0], [0], [0], [0], [0], [0], [0], [0]];[1.21453983,1.40954952]
[1.03623878,1.21321955];[-3.20814523e-04,4.68920076e-04,4.05822077e-01,9.13951924e-01];[[3.50000005, 0.15], [1.29562271, 4.17588854], [0.50000001, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.153049279049023], [13.192847818175935], [13.185158308827532], [0], [0], [0], [0], [0], [0], [0]];[1.29562271,4.17588854]
[1.2776465,3.94321737];[7.55692951e-04,-5.21483855e-04,6.65505112e-01,7.46392737e-01];[[3.95724404, -1.28039914], [1.78320301, 5.18137121], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.262908228164159], [15.729298159875274], [0], [0], [0], [0], [0], [0], [0], [0]];[1.78320301,5.18137121]
[1.69081736,4.94943511];[0.00207298,-0.00271287,0.55588633,0.83125131];[[4.1133604, -1.37808907], [0.0936069, -0.20478497], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.292646552562525], [2726.2786280187393], [0], [0], [0], [0], [0], [0], [0], [0]];[0.0936069,-0.20478497]
[0.16495655,0.03021848];[-7.69889236e-04,8.28826710e-04,-7.99919105e-01,6.00106806e-01];[[5.27320091, 0.9851311], [3.51044088, -1.68838062], [-0.46738474, 2.56807318], [-1.69999977, -1.79999988], [-2.09999977, -0.19999986], [2.10000029, -4.29999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.1642520720157963], [0.1628373096182616], [0.17772534750064425], [4.713803580239985], [2.3315150560132105], [0.1599268819902224], [0], [0], [0], [0]];[-1.69999977,-1.79999988]
[-1.72568959,-1.78506354];[2.10979539e-03,-8.02253394e-04,8.71902287e-01,-4.89674696e-01];[[-3.36916216, -0.00141640951], [4.93909153, 0.35670671], [-0.40892714, 2.78275842], [-1.59243506, -3.1935401], [5.9, 1.70000031], [3.39999996, -1.59999974], [1.99999994, -4.39999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[296.5079801193002], [844.5273559858098], [278.9951215493023], [609.2548945757054], [1282.086680173641], [794.8388787215011], [730.2982379681273], [0], [0], [0]];[5.9,1.70000031]
[5.36090049,1.55378364];[7.83203775e-04,-2.49809479e-04,8.61531899e-02,9.96281558e-01];[[-4.82912926, 0.40726296], [-5.399839, -2.03520952], [8.80000063, 1.3000003], [3.90000056, -1.99999975], [2.20000054, -4.39999979], [-0.99999951, -3.59999977], [-4.49999956, -4.19999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.679144028957076], [22.8604502119733], [8.79851669426609], [8.830741229641754], [8.447024997633285], [27.948490795626846], [21.66452845014234], [0], [0], [0]];[-0.99999951,-3.59999977]
[-0.95416256,-3.62082781];[3.21821752e-04,1.02344068e-03,9.68272514e-01,-2.49894342e-01];[[-3.60155906, 0.78802571], [-4.20024426, -4.35543297], [8.00000062, 2.30000031], [7.70000062, -0.39999973], [4.00000056, -1.99999975], [2.20000054, -4.39999979], [0.40000051, -4.09999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2578155006392957], [2.265513077582775], [0.8420289871895547], [0.8451047437699035], [0.9065366679745701], [0.9057747441863849], [0.936251624003404], [0], [0], [0]];[-4.20024426,-4.35543297]
[-4.3103986,-4.34724232];[1.35613319e-03,5.45661442e-04,9.75797743e-01,-2.18670129e-01];[[-5.80486803, -2.50918167], [4.55486351, -1.55539026], [8.00000065, 2.30000003], [7.70000064, -0.40000001], [2.20000056, -4.40000007], [1.83606482, -2.2043035], [0.50000053, -4.10000006], [-7.99999959, -2.20000004], [0.0, 0.0], [0.0, 0.0]];[[1.7709431108054845], [2.748010709084862], [4.987893130423636], [2.91880038109313], [1.8900531306358428], [2.208943896015319], [2.825104225253157], [0.9427559530151224], [0], [0]];[8.00000065,2.30000003]
[7.95116107,2.30671531];[-4.03084366e-04,3.22095817e-04,1.27837257e-01,9.91795027e-01];[[-3.76666619, 2.00000003], [3.81244832, -2.60891873], [2.20000057, -4.40000007], [0.50000054, -4.10000006], [-8.11651897, -1.49607444], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[70.01159636156453], [46.86823687202301], [45.63481660019106], [68.5961390601699], [115.62895025383081], [0], [0], [0], [0], [0]];[-8.11651897,-1.49607444]
[-8.25582746,-1.48991073];[6.29734365e-03,-2.39074181e-04,9.78931917e-01,-2.04089644e-01];[[-4.05485439, 2.8985964], [4.28258801, -1.81130338], [3.20000058, -2.99999976], [0.50000054, -4.19999978], [-6.39999956, 2.50000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[55.44351119364363], [131.1440217865511], [134.60732333743195], [95.98253970130907], [55.4435111936439], [0], [0], [0], [0], [0]];[3.20000058,-2.99999976]
[3.04551432,-3.02263627];[0.00161742,0.00592105,0.04734192,0.99885989];[[-6.42396095, 2.51426062], [6.44922159, -2.25334479], [-1.89096165, 4.4276185], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[86.580403151646], [48.035948015117086], [60.29468023857874], [0], [0], [0], [0], [0], [0], [0]];[-6.42396095,2.51426062]
[-5.30559304,0.96740978];[-1.43156505e-03,-6.79271256e-04,-5.39663078e-02,9.98541506e-01];[[9.00667477, -5.20464849], [7.40000064, -3.80000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[106.07502848179568], [108.92091630588173], [0], [0], [0], [0], [0], [0], [0], [0]];[7.40000064,-3.80000005]
